company_id,company_name,stream_id,stream_name,stream_type,direction,flow_kton_per_year,norm_flow_kton_per_year,carbon_pct_display,carbon_pct_complete,carbon_flow_kton_per_year,temperature_c,pressure_bar,notes
C010,Methanol Production Plant,S130,FS-WATER,raw_material,input,157.213547,1.9601589287085537,0.0,1,0.0,20.0,1.02,
C010,Methanol Production Plant,S126,FS-BFW1,raw_material,input,80.2044899,1.0,0.0,1,0.0,204.346,17.0,
C010,Methanol Production Plant,S127,FS-Methane,raw_material,input,50.0,0.6234064958500534,74.88,1,37.441,20.0,1.02,
C010,Methanol Production Plant,S129,FS-CO2,raw_material,input,38.8174034,0.48398042863183904,27.29,1,10.594,20.0,1.02,
C010,Methanol Production Plant,S128,FS-Methane-2,raw_material,input,32.2203188,0.40172712076559197,74.88,1,24.127,20.0,1.02,
C010,Methanol Production Plant,S133,WS-FG,waste,output,859.980447,10.722347939276652,5.42,1,46.602,64.21834,1.02,
C010,Methanol Production Plant,S136,WS-W1,waste,output,88.9703895,1.1092943750521878,0.0,1,0.0,40.0,1.02,
C010,Methanol Production Plant,S135,WS-PURGE,waste,output,33.8010604,0.42143601239960005,31.71,1,10.718,40.3592534,40.0,
C010,Methanol Production Plant,S137,WS-W2,waste,output,22.448779,0.2798942930500453,0.16,1,0.035,40.0,1.02,
C010,Methanol Production Plant,S134,WS-LIGHT,waste,output,7.09410171,0.08845018176469945,27.48,0,1.949,63.053544,7.0,
C010,Methanol Production Plant,S131,PS-CH3OH,products,output,93.7167772,1.1684729535322436,37.48,1,35.128,40.0,1.02,
C010,Methanol Production Plant,S132,PS-MPS,products,output,80.2044899,1.0,0.0,1,0.0,230.0,17.0,
C013,DME Plant,S155,FS-CH3OH,raw_material,input,93.7167772,1.3925226924219911,37.48,1,35.126,64.21834,1.02,
C013,DME Plant,S158,WS-WATER,waste,output,26.3318558,0.3912608588410104,0.02,1,0.006,40.0,1.0,
C013,DME Plant,S157,WS-PRG1,waste,output,0.13281943,0.00197354279346211,38.85,1,0.052,137.119572,10.0,
C013,DME Plant,S156,PS-DME,products,output,67.3,1.0,52.14,1,35.089,40.0,10.0,
