company;stream_type;stream_name;composition;kiloton/year;Temperature ©;pressure (bar)
Aromatics Production Plant;waste;WS-C9+;o-xylene (0.10%), NAPH (23.15%), DCYPD (12.18%), Styrene (0.12%), TMB (64.00%), BZAC (0.34%), Cumene (0.11%);605.354487;40;1.02
Aromatics Production Plant;waste;WS-ETHAN;H2 (0.07%), N2 (0.01%), N-C2A (99.92%);47.3909658;-53.8888889;14
Aromatics Production Plant;waste;WS-HEAVY;BZ (42.83%), TOL (0.63), o-xylene (2.24%), m-xylene (37.58%), p-xylene (15.21%), EB (1.50%);20.1978859;40;1.02
Aromatics Production Plant;waste;WS-HEPT;BZ (5.82%), TOL (18.37), m-xylene (49.88%), p-xylene (23.29%), EB (2.64%);30.1526519;40;1.02
Aromatics Production Plant;waste;WS-OFFG;BZ (92.46%), H2 (7.53%);1.82307079;40;1.02
Aromatics Production Plant;waste;WS-OFFGA;H2O (0.72%), H2 (0.11%), H2S (0.07%), N-C4A (3.54%), N-C1A (0.03%), I-C5A (81.83%), CYPD (0.03%), N-C5A (11.36%), I-C4A (2.32%);1066.31883;46.3287842;2
Aromatics Production Plant;waste;WS-PRG;BZ (0.06%), H2O (0.04%), H2 (87.86%), N2 (0.21%), H2S (0.47%), N-C4A (1.56%), N-C1A (2.82%), CYHEX (0.02%), MCP (0.06%), I-C5A (4.88%), N-C5A (0.38%), I-C4A (1.83%);12.1410396;-35.7707895;5
Aromatics Production Plant;waste;WS-PRG1;SL (99.13%), H2O (0.87%);125.931198;40;2
Aromatics Production Plant;waste;WS-PRG4;BZ (98.77%), TOL (0.03%), N-C2A (1.20%);0.823285022;30.0000016;1.02
Aromatics Production Plant;waste;WS-PRG5;H2 (98.52%), N-C2A (1.48%);0.00641241444;40.2706444;5
Aromatics Production Plant;waste;WS-PRG6;BZ (4.85%), TOL (3.02%), m-xylene (0.01%), p-xylene (0.47%), H2 (91.57%), N2 (0.07%);0.0403480102;25.7038241;5
Aromatics Production Plant;waste;WS-RAFF;BZ (0.07%), H2O (14.7%), CYHEX (27.22%), MCP (50.34%), I-C5A (0.04%), DMP (2.52%), MEHX (4.72%), MEHP (0.09%), N-C5A (0.08%), N-C2A (0.23%);844.334482;40;2
Aromatics Production Plant;waste;WS-RAFF2;PY (100%);4.08700865;40.2750434;1.02
Aromatics Production Plant;waste;WS-RAFF3;BZ (33.86%), H2 (0.37%), N-C2A (65.76%);32.765299;30.0000016;1.02
Aromatics Production Plant;waste;WS-WW;SL (4.41%), H2O (95.56%), DMP (0.02%);6.02525193;40;2
Aromatics Production Plant;waste;WS-NONAR;SL (0.05%), H2O (0.06%) CYHEX (0.17%), MCP (0.28%), DMP (46.23%), MEHX (2.20%), MEHP (50.96%), N-C2A (0.05%);80.1584275;40;2
Biogas Plant;raw;Food waste;100% food waste;3300;;
Biogas Plant;raw;Dilution water;100% water;13520;;
Biogas Plant;products;Biogas line 1;61.99% CH4, 37.5% CO2, 0.51% H2S;769;;
Biogas Plant;products;Biogas line 2;64% CH4, 35.67% CO2, 0.33% H2S;68;;
Biogas Plant;waste;Cake;;1095;;
Biogas Plant;waste;Liquid effluent;;2205;;
Biogas Plant;waste;Dilution water;100% water;12683;;
Ethylene Oxide-Ethylene Glycol;raw;Oxygen;99% O2, 0.5% N2, 0.5% AR;305.842;20;1.02
Ethylene Oxide-Ethylene Glycol;raw;Ethylene;99.5% Ethylene, 0.5% Ethane;269.406;20;1.02
Ethylene Oxide-Ethylene Glycol;raw;Diluent;100% Methane;33.4038;40;1.02
Ethylene Oxide-Ethylene Glycol;raw;Combustion air;21 mol% O2, 79 mol% N2;1065.16;20;1.02
Ethylene Oxide-Ethylene Glycol;raw;Stripping steam;100% water;16;180;5
Ethylene Oxide-Ethylene Glycol;raw;Make-up water;100% water;1.58535;20;1.02
Ethylene Oxide-Ethylene Glycol;products;Ethylene oxide;99.14% EO, 0.86% CO2;197.76;41;3
Ethylene Oxide-Ethylene Glycol;products;Mono Ethylene glycol;99.97% MEG, 0.03% water;134.971;40;2
Ethylene Oxide-Ethylene Glycol;products;Di Ethylene glycol;99.53% DEG, 0.37% MEG, 0.1% TEG;18.7039;40;2
Ethylene Oxide-Ethylene Glycol;products;Tri Ethylene glycol;98.95% TEG, 1% DEG, 0.05% TEEG;2.75827;40;2
Ethylene Oxide-Ethylene Glycol;products;Tetra Ethylene glycol;99.83% TEEG, 0.17% TEG;1.52422;40;2
Ethylene Oxide-Ethylene Glycol;waste;Effluent water;100% water;1.59298;40;5
Ethylene Oxide-Ethylene Glycol;waste;Purge water;99.75% water, 0.25% MEG;35.0097;40;2
Ethylene Oxide-Ethylene Glycol;waste;Flue gas;66% N2, 20% CO2, 9% water, 5% O2;1240.46;200;1.02
Ethylene Oxide-Ethylene Glycol;waste;Purge potassium carbonate solution (calculated);98% CO2, 2% EO;58.49913;40;5
Biodiesel Production;raw;S-TRIGLY;TRIOLEIN (67.9%), TRILINOL (23.5%), Trilinolenin (8.6%);380;25;1.02
Biodiesel Production;raw;S-METHANOL;METHANOL (100%);44.8796;25;1.02
Biodiesel Production;raw;S-NAOCH3;NAOCH3 (100%);6;25;1.02
Biodiesel Production;raw;S-H2SO4;H2SO4 (98%);5.765;25;1.02
Biodiesel Production;raw;S-WASH;H2O (100%);871.029;25;1.02
Biodiesel Production;products;S-FAME;METHY-01 (67.2%), METHY-02 (23.2%), METHY-03 (8.5%), WATER (0.2%);373.993;30;1.02
Biodiesel Production;products;S-GLYCEROL;GLYC (83%), METHY-01 (8.1%), METHY-02 (2.7%) WATER (2.9%), H2SO4 (1.5%), METHY-03 (1.1%);46.2257;30;1.02
Biodiesel Production;waste;S-WW1;H2O (99.4%), METHY-01 (0.2%), METHY-02 (0.1%);165.518;30;1.02
Biodiesel Production;waste;S-WW2;H2O (99.3%);1.272;30;1.02
Biodiesel Production;waste;S-WW3;METHANOL (99.1%);1.289;30;1.02
Biodiesel Production;waste;S-WW4;H2O (98.8%), METHANOL (0.9%), METHY-01 (0.1%);638.75;40;1.02
Biodiesel Production;waste;S-WW5;H2O (99.2%), NAOCH3 (0.8%);72.3276;40;1.02
Biodiesel Production;waste;S-SOLCAT;NA2SO4 (100%);7.1;110;1.02
Biodiesel Production;waste;S-PURG;GLYCEROL (65%), WATER (23.7%);1.2;40;1.02
PET Production Plant;raw;p-Xylene;99.78% p-xylene, 0.11% EB, 0.11% o-xylene;0.666988276657061;22;1.02
PET Production Plant;raw;Solvent;100% Acetic acid;0.0393200682881836;15;1.02
PET Production Plant;raw;Oxidation air;23.13% O2, 75.27% N2, 0.05% CO2, 0.27% H2O, 1.28% Argon;2.59537658360478;15;1.02
PET Production Plant;raw;Solvent water;100% water;0.631249800845533;15;1.02
PET Production Plant;raw;Hydrogen;99.93% H2, 0.07% N2;0.000514266079674383;40;15
PET Production Plant;raw;Extractive distillation solvent;100% propyl acetate;0.235465590778098;40;1.02
PET Production Plant;products;PTA;99.99% Terephthalic acid, 0.01% H2O;1.00101019604705;80;2
PET Production Plant;waste;Excess water;83.82% water, 16.18% acetic acid;0.0864938288236199;40;20
PET Production Plant;waste;Vent gas;0.51% P-xylene, 0.61% HOAC, 80.37% N2, 6.5% water, 0.21% CO2, 0.41% O2, 0.27% MEOAC, 9.69% NPAC, 1.37% Ar, 0.03% EB, 0.03% O-xylene;2.43069617966049;46;1.02
PET Production Plant;waste;Wastewater;97.35% water, 2.65% PTA;0.650705128227095;40;2
Cyclohexane Production Plant;raw;S-BENZ;99.9% Benzene, 0.1%MCP;254.15;20;1.02
Cyclohexane Production Plant;raw;S-H2;100% H2;20.32;40;16
Cyclohexane Production Plant;products;S-CYCHEX;99.6% Cyclohexane, 0.3% Benzene;273.2;40;2
Cyclohexane Production Plant;waste;S-PURG;72% H2, 28% Cyclohexane;0.91;40.4;5
Cyclohexane Production Plant;waste;S-PURG2;77.7% Cyclohexane, 21.9% H2, 0.3% Benzene;0.35;40;2
Methanol Production Plant;raw;FS-AIR;23.29% O2, 76.71% N2;827.760128;20;1.02
